Date	Time	Barcode	Cycle	Info	
9/15/2017	12:22:25.342	CB1C1ANXX	75	End Imaging	
9/15/2017	12:22:29.149	CB1C1ANXX	76	Start chemistry	
9/15/2017	12:26:45.725	CB1C1ANXX	76	End chemistry	
9/15/2017	12:39:08.660	CB1C1ANXX	76	Start Imaging	
9/15/2017	12:54:25.814	CB1C1ANXX	76	End Imaging	
9/15/2017	12:54:29.822	CB1C1ANXX	77	Start chemistry	
9/15/2017	12:58:48.497	CB1C1ANXX	77	End chemistry	
9/15/2017	13:11:37.727	CB1C1ANXX	77	Start Imaging	
9/15/2017	13:28:26.418	CB1C1ANXX	77	End Imaging	
9/15/2017	13:28:31.045	CB1C1ANXX	78	Start chemistry	
9/15/2017	13:32:50.477	CB1C1ANXX	78	End chemistry	
9/15/2017	13:46:09.890	CB1C1ANXX	78	Start Imaging	
9/15/2017	14:01:15.058	CB1C1ANXX	78	End Imaging	
9/15/2017	14:01:19.432	CB1C1ANXX	79	Start chemistry	
9/15/2017	14:05:38.765	CB1C1ANXX	79	End chemistry	
9/15/2017	14:19:15.884	CB1C1ANXX	79	Start Imaging	
9/15/2017	14:34:03.780	CB1C1ANXX	79	End Imaging	
9/15/2017	14:34:07.027	CB1C1ANXX	80	Start chemistry	
9/15/2017	14:38:23.393	CB1C1ANXX	80	End chemistry	
9/15/2017	14:51:41.687	CB1C1ANXX	80	Start Imaging	
9/15/2017	15:06:36.243	CB1C1ANXX	80	End Imaging	
9/15/2017	15:06:40.186	CB1C1ANXX	81	Start chemistry	
9/15/2017	15:10:57.507	CB1C1ANXX	81	End chemistry	
9/15/2017	15:23:33.454	CB1C1ANXX	81	Start Imaging	
9/15/2017	15:38:44.271	CB1C1ANXX	81	End Imaging	
9/15/2017	15:38:48.520	CB1C1ANXX	82	Start chemistry	
9/15/2017	15:43:07.203	CB1C1ANXX	82	End chemistry	
9/15/2017	15:56:01.966	CB1C1ANXX	82	Start Imaging	
9/15/2017	16:10:56.599	CB1C1ANXX	82	End Imaging	
9/15/2017	16:11:00.859	CB1C1ANXX	83	Start chemistry	
9/15/2017	16:15:17.204	CB1C1ANXX	83	End chemistry	
9/15/2017	16:27:45.349	CB1C1ANXX	83	Start Imaging	
9/15/2017	16:42:54.417	CB1C1ANXX	83	End Imaging	
9/15/2017	16:42:59.206	CB1C1ANXX	84	Start chemistry	
9/15/2017	16:47:17.487	CB1C1ANXX	84	End chemistry	
9/15/2017	16:59:56.498	CB1C1ANXX	84	Start Imaging	
9/15/2017	17:14:56.275	CB1C1ANXX	84	End Imaging	
9/15/2017	17:15:01.092	CB1C1ANXX	85	Start chemistry	
9/15/2017	17:19:18.981	CB1C1ANXX	85	End chemistry	
9/15/2017	17:31:41.924	CB1C1ANXX	85	Start Imaging	
9/15/2017	17:46:25.951	CB1C1ANXX	85	End Imaging	
9/15/2017	17:46:29.977	CB1C1ANXX	86	Start chemistry	
9/15/2017	17:50:48.912	CB1C1ANXX	86	End chemistry	
9/15/2017	18:03:23.453	CB1C1ANXX	86	Start Imaging	
9/15/2017	18:18:22.867	CB1C1ANXX	86	End Imaging	
9/15/2017	18:18:26.736	CB1C1ANXX	87	Start chemistry	
9/15/2017	18:22:45.529	CB1C1ANXX	87	End chemistry	
9/15/2017	18:35:07.193	CB1C1ANXX	87	Start Imaging	
9/15/2017	18:50:11.683	CB1C1ANXX	87	End Imaging	
9/15/2017	18:50:15.825	CB1C1ANXX	88	Start chemistry	
9/15/2017	18:54:35.896	CB1C1ANXX	88	End chemistry	
9/15/2017	19:06:58.753	CB1C1ANXX	88	Start Imaging	
9/15/2017	19:22:01.401	CB1C1ANXX	88	End Imaging	
9/15/2017	19:22:05.766	CB1C1ANXX	89	Start chemistry	
9/15/2017	19:26:22.780	CB1C1ANXX	89	End chemistry	
9/15/2017	19:38:43.554	CB1C1ANXX	89	Start Imaging	
9/15/2017	19:53:34.362	CB1C1ANXX	89	End Imaging	
9/15/2017	19:53:38.803	CB1C1ANXX	90	Start chemistry	
9/15/2017	19:57:55.915	CB1C1ANXX	90	End chemistry	
9/15/2017	20:10:13.356	CB1C1ANXX	90	Start Imaging	
9/15/2017	20:25:03.241	CB1C1ANXX	90	End Imaging	
9/15/2017	20:25:07.900	CB1C1ANXX	91	Start chemistry	
9/15/2017	20:29:24.796	CB1C1ANXX	91	End chemistry	
9/15/2017	20:41:40.931	CB1C1ANXX	91	Start Imaging	
9/15/2017	20:56:25.756	CB1C1ANXX	91	End Imaging	
9/15/2017	20:56:30.310	CB1C1ANXX	92	Start chemistry	
9/15/2017	21:00:51.295	CB1C1ANXX	92	End chemistry	
9/15/2017	21:13:15.024	CB1C1ANXX	92	Start Imaging	
9/15/2017	21:27:49.251	CB1C1ANXX	92	End Imaging	
9/15/2017	21:27:53.360	CB1C1ANXX	93	Start chemistry	
9/15/2017	21:32:11.204	CB1C1ANXX	93	End chemistry	
9/15/2017	21:44:44.740	CB1C1ANXX	93	Start Imaging	
9/15/2017	21:59:34.965	CB1C1ANXX	93	End Imaging	
9/15/2017	21:59:40.173	CB1C1ANXX	94	Start chemistry	
9/15/2017	22:03:56.543	CB1C1ANXX	94	End chemistry	
9/15/2017	22:16:16.957	CB1C1ANXX	94	Start Imaging	
9/15/2017	22:31:22.005	CB1C1ANXX	94	End Imaging	
